iso,App,English,Company,Type
tw,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
tw,Chowbus: Asian Food Delivery,Chowbus: Asian Food Delivery,"Chowbus, Inc.",Food delivery
tw,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
tw,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
tw,Just Eat Ireland-Food Delivery,Just Eat Ireland-Food Delivery,Just-Eat.com,Food delivery
tw,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,"Yelp: Find Food, Delivery & Services Nearby","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc",
tw,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
tw,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
tw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
tw,Just Eat - Food Delivery UK,Just Eat - Food Delivery UK,Just-Eat.com,Food delivery
tw,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
tw,Gorillas - Grocery Delivery,Gorillas - Grocery Delivery,GetGoodys,Grocery delivery
tw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
tw,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
tw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
us,Kenguroo - Доставка еды (Кенгуру),Kenguroo - Meal Delivery (Kangaroo),Kenguroo,
us,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
us,"zomato - food delivery, dining","zomato - food delivery, dining",Zomato Media Pvt. Ltd.,Food delivery
us,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
us,Gorillas - Grocery Delivery,Gorillas - Grocery Delivery,GetGoodys,Grocery delivery
us,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
us,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
us,Osh Food - delivery service,Osh Food - delivery service,Nambafood,
us,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,肯德基KFC(官方版)-宅急送外卖无接触配送,KFC KFC (official version) - house emergency food delivery and distribution without contact,"Huansheng E-commerce (Shanghai) Co., Ltd",
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
us,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
us,McDelivery Singapore,McDelivery Singapore,McDonald's Restaurants Pte Ltd (Singapore),
us,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
us,Rider App Delivery Club,Rider App Delivery Club,DeliveryClub.dk,
us,Bringo - food delivery in Tashkent,Bringo - food delivery in Tashkent,bringo,
us,Stolik - Food Delivery & Reservations in Tashkent,Stolik - Food Delivery & Reservations in Tashkent,Silk Road Development Capital Ltd.,
us,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
us,"zomato - food delivery, dining","zomato - food delivery, dining",Zomato Media Pvt. Ltd.,Food delivery
us,Swiggy Food Order & Delivery,Swiggy Food Order & Delivery,BUNDL TECHNOLOGIES PRIVATE LIMITED,Food delivery
us,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
us,Yummy Delivery,Yummy Delivery,Yummy Inc,
us,Gorillas - Grocery Delivery,Gorillas - Grocery Delivery,GetGoodys,Grocery delivery
us,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
us,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
us,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
us,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
us,SkipTheDishes - Food Delivery,SkipTheDishes - Food Delivery,SkipTheDishes,Food delivery
us,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
us,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
us,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
us,Facedrive Foods - 小红车外卖,Facedrive Foods - little red car takeaway,Food Hwy Ontario Inc.,Food delivery
gb,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
gb,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
gb,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
gb,Chowbus: Asian Food Delivery,Chowbus: Asian Food Delivery,"Chowbus, Inc.",Food delivery
gb,Postmates - Food Delivery,Postmates - Food Delivery,Postmates Inc.,Food delivery
gb,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
gb,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
gb,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,Food delivery
gb,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
gb,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
gb,Menulog | NZ Takeaway Online,Menulog | NZ Takeaway Online,Just-Eat.com,Food delivery
gb,"zomato - food delivery, dining","zomato - food delivery, dining",Zomato Media Pvt. Ltd.,Food delivery
gb,"Yelp: Find Food, Delivery & Services Nearby","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc",Food delivery
gb,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
gb,Give Me Bread - Food Delivery,Give Me Bread - Food Delivery,Bread Private Limited,Food delivery
gb,DoorDash - Food Delivery,DoorDash - Food Delivery,"DoorDash, Inc.",Food delivery
gb,foodpanda - Food Delivery,foodpanda - Food Delivery,Foodpanda,Food delivery
gb,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
gb,EASI - 海外最大华人外卖及生活服务平台,EASI - the largest overseas Chinese takeaway and living service platform,EASI Australia Pty Ltd,Food delivery
gb,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,Food delivery
gb,Takeaway.com - België,Takeaway.com - Belgium,Takeaway.com,Food delivery
gb,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
gb,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
gb,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,Food delivery
gb,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,Food delivery
gb,Takeaway.com,Takeaway.com,Takeaway.com,Food delivery
gb,McDelivery PH,McDelivery PH,Golden Arches Development Corporation,Official(Fast food) resturant delivery
gb,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
gb,Takeaway.com - Luxembourg,Takeaway.com - Luxembourg,Takeaway.com,Food delivery
gb,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
gb,LalaFood - Fastest Food Delivery,LalaFood - Fastest Food Delivery,LALA APP,Food delivery
gb,Just Eat FR - Livraison Repas,Just Eat FR - Delivery Meals,Just-Eat.com,Food delivery
gb,"Yelp Food, Delivery & Services","Yelp Food, Delivery & Services",Yelp,Food delivery
gb,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
gb,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
gb,MetroMart - #1 Grocery Delivery,MetroMart - #1 Grocery Delivery,"MetroMart Technologies, Inc.",Grocery delivery
gb,ordermo - Hassle-Free Delivery Service and more!,ordermo - Hassle-Free Delivery Service and more!,Ordermo.PH,Food delivery
gb,DeliveryK(Korean food delivery app),DeliveryK(Korean food delivery app),(주)딜리버리케이,Food delivery
gb,PH Food Delivery - Directory,PH Food Delivery - Directory,ScriptRepublic,Food delivery
gb,Goldilocks Delivery,Goldilocks Delivery,Ideo Studios Creative Media Company,Food delivery
gb,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
gb,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
gb,Just Eat FR - Livraison Repas,Just Eat FR - Delivery Meals,Just-Eat.com,Food delivery
gb,All in One Food Delivery App | Order Food Online,All in One Food Delivery App | Order Food Online,Online Shopping Apps,Food delivery
kw,Jumia Food - Food delivery,Jumia Food - Food delivery,Africa Internet Group,Food delivery
kw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
kw,ehrana - Food delivery,ehrana - Food delivery,Trilogic,Food delivery
kw,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,Food delivery
kw,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
kw,DeliRush Food Delivery,DeliRush Food Delivery,DeliRush Pte Ltd,Food delivery
kw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
kw,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,Food delivery
kw,Bake Pizza Delivery Boy: Pizza Maker Games,Bake Pizza Delivery Boy: Pizza Maker Games,Sweet Maker Shop,Official(Fast food) resturant delivery
kw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
kw,Just Eat ES Comida a Domicilio,ES Just Eat Food Delivery,Just-Eat.com,Food delivery
kw,Deliveroo: Food delivery,Deliveroo: Food delivery,Deliveroo,Food delivery
kw,Pabitbit Delivery,Pabitbit Delivery,Pabitbit Team,
kw,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
kw,Central Delivery,Central Delivery,Serino Inc,
kw,Just Eat FR - Livraison Repas,Just Eat FR - Delivery Meals,Just-Eat.com,Food delivery
kw,foodtrek - Food Delivery,foodtrek - Food Delivery,FoodTrek PH,
kw,PedidosYa - Delivery App,PedidosYa - Delivery App,Pedidos Ya S.A.,Grocery delivery
kw,Dáme jídlo: Food Delivery,We give food: Food Delivery,DameJidlo.cz,Food delivery
kw,Wolt: Food delivery,Wolt: Food delivery,Wolt,Food delivery
kw,Mr D Food - delivery & takeaway,Mr D Food - delivery & takeaway,Mr Delivery (Pty) Ltd Play Store,
kw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
kw,Delivery DJ,Delivery DJ,DameJidlo.cz,
kw,All in One Food Delivery App | Order Food Online,All in One Food Delivery App | Order Food Online,Online Shopping Apps,
kw,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
kw,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,Food delivery
kw,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
kw,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
kw,PizzaHut Egypt - Order Pizza Online for Delivery,PizzaHut Egypt - Order Pizza Online for Delivery,Americana Food Co,Official(Fast food) resturant delivery
kw,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
kw,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,
kw,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
kw,Akelni - Food Delivery,Akelni - Food Delivery,Akelni,
kw,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
kw,Bake Pizza Delivery Boy: Pizza Maker Games,Bake Pizza Delivery Boy: Pizza Maker Games,Sweet Maker Shop,Official(Fast food) resturant delivery
kw,배달의민족,Ethnic delivery,WoowaBrothers,
kw,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
kw,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
kw,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
kw,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,Food delivery
kw,HappyFresh - Grocery & Food Delivery Online,HappyFresh - Grocery & Food Delivery Online,HappyFresh,
kw,Domino's Pizza Indonesia - Home Delivery Expert,Domino's Pizza Indonesia - Home Delivery Expert,Domino's Pizza Indonesia,Official(Fast food) resturant delivery
kw,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
kw,Kulina - Food Delivery,Kulina - Food Delivery,Kulina,
cn,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
cn,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,Food delivery
cn,Gofood Delivery Boy,Gofood Delivery Boy,Gofood Solutions,Food delivery
cn,Bake Pizza Delivery Boy: Pizza Maker Games,Bake Pizza Delivery Boy: Pizza Maker Games,Sweet Maker Shop,Official(Fast food) resturant delivery
cn,Now - Food Delivery,Now - Food Delivery,Foody Corp,Food delivery
cn,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,Official(Fast food) resturant delivery
cn,BAEMIN - Food delivery app,BAEMIN - Food delivery app,WOOWA BROTHERS VIETNAM,Food delivery
cn,Eat Scanner - ristoranti con consegna a domicilio,Eat Scanner - restaurants with home delivery,Eat Scanner,
cn,DeliveryK(Korean food delivery app),DeliveryK(Korean food delivery app),(주)딜리버리케이,
cn,"DINKI - App de Delivery, Transporte y Encargos.","DINKI - App Delivery, Transport and assignments.",DINKI,
cn,Rocket — Food Delivery,Rocket — Food Delivery,Rocket delivery,
cn,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
cn,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
cn,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
cn,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
cn,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
cn,"ОКОЛО: Доставка продуктов. Пятёрочка, Перекрёсток","NEAR: Delivery of products. Pyaterochka, Perekrestok",X5 FoodTech,
cn,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
cn,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
cn,KupimZaVas - доставка еды и товаров,KupimZaVas - delivery of food and goods,Kupimzavas,
cn,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
cn,TanukiFamily — доставка еды,TanukiFamily - food delivery,Verwood T.L.,
cn,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
cn,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
cn,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
cn,KFC Delivery Su,KFC Delivery Su,GlobalFood,
cn,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
cn,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
cn,McDelivery Su,McDelivery Su,GlobalFood,
cn,"Yelp: Find Food, Delivery & Services Nearby","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc",
cn,Express24 — Доставка еды и товаров,Express24 - Delivery of food and goods,Newmax Technologies,
cn,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
cn,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
cn,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
cn,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,
cn,Online Taom - Доставка еды по Ташкенту,Online Taom - Food Delivery in Tashkent,"СП ООО ""PILAFF""",
cn,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
cn,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
cn,Ubii Go Delivery,Ubii Go Delivery,Ubii Pagos C.A.,
cn,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
cn,"Liveri: Delivery de Comida, Mercado y Farmacias","Liveri: Delivery of Food, Market and Pharmacies",Ticketmundo International Corp,
cn,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
cn,QUIK: Pago y Delivery en Maracaibo,QUIK: Payment and Delivery in Maracaibo,QUIK GROUP LLC,
cn,Domicilios.com - Delivery App,Domicilios.com - Delivery App,PedidoYa S.A.,
cn,Kepido Venezuela - Delivery Online,Kepido Venezuela - Delivery Online,Kepido Internacional,
cn,ALA Delivery,ALA Delivery,ALA Delivery,
cn,Amiko Delivery,friend Delivery,Grupo Amiko,
cn,Detodito app - Delivery Online,Detodito app - Delivery Online,Detodito LLC,
cn,KFC Delivery Su,KFC Delivery Su,GlobalFood,
cn,Eat Delivery,Eat Delivery,Eat Group Holding,
no,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
no,Uber Eats: Food Delivery,Uber Eats: Food Delivery,"Uber Technologies, Inc.",Food delivery
no,foodpanda - Local Food & Grocery Delivery,foodpanda - Local Food & Grocery Delivery,Foodpanda GmbH a subsidiary of Delivery Hero SE,Food delivery
no,Talabatey Online Food Delivery,Talabatey Online Food Delivery,Smart Delivery Group,
no,KFC Saudi - Order food online from KFC Delivery!,KFC Saudi - Order food online from KFC Delivery!,Americana Food Co,
no,Bake Pizza Delivery Boy: Pizza Maker Games,Bake Pizza Delivery Boy: Pizza Maker Games,Sweet Maker Shop,
no,Jumia Food: Local Food Delivery near You,Jumia Food: Local Food Delivery near You,JUMIA,
no,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
no,Deliveroo: Takeaway food,Deliveroo: Takeaway food,Deliveroo,Food delivery
no,zomato - online food delivery & restaurant reviews,zomato - online food delivery & restaurant reviews,zomato,
no,PedidosYa - Delivery Online,PedidosYa - Delivery Online,PedidoYa S.A.,
no,Swiggy Food Order | Online Grocery | Delivery App,Swiggy Food Order | Online Grocery | Delivery App,Swiggy,
no,Wabi: Your Online Convenience Store -Free Delivery,Wabi: Your Online Convenience Store -Free Delivery,YOPDev,
no,배달의민족,Ethnic delivery,WoowaBrothers,
no,Coupang Eats - Rocket Delivery for Food,Coupang Eats - Rocket Delivery for Food,쿠팡,
no,Пятёрочка Доставка — заказ продуктов на дом,Pyaterochka Delivery - order products at home,Пятёрочка,
no,배달요기요 - 기다림 없는 맛집 배달앱,Delivery Yogi yo-app delivery restaurants without waiting,DeliveryHero Korea,Food delivery
no,talabat: Food & Grocery Delivery,talabat: Food & Grocery Delivery,Talabat,
no,Яндекс.Еда — доставка еды/продуктов. Food delivery,Yandeks.Eda - food delivery / products. Food delivery,Yandex Apps,
no,Wolt: Food delivery,Wolt: Food delivery,Wolt Enterprises Oy,
no,"Самокат - Доставка продуктов, еды бесплатно!","Scooter - Delivery of products, food for free!",Smart Space LLC,
no,Delivery Club – Доставка еды и продуктов,Delivery Club - Delivery of food and products,Delivery Club LLC,
no,Just Eat UK - Takeaway Delivery,Just Eat UK - Takeaway Delivery,Just-Eat Holding Limited,Food delivery
no,"HungerStation - Food, Groceries Delivery & More","HungerStation - Food, Groceries Delivery & More",HungerStation Care,
no,goPuff: Drink & Food Delivery,goPuff: Drink & Food Delivery,goPuff,
no,"Yelp: Find Food, Delivery & Services Nearby","Yelp: Find Food, Delivery & Services Nearby","Yelp, Inc",
no,aiqfome - delivery de comida,aiqfome - food delivery,aiqfome,
no,"БУРГЕР КИНГ - Доставка, купоны, акции","BURGER KING - Delivery, coupons, promotions",Burger-King,
no,Магнит: доставка продуктов на дом из магазина,Magnet: food delivery to your home from the store,АО Тандер,
